Folder/Label,File Name,Predicted Phonemes
Y,Y 2.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca3590>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca31d0>]"
Y,Y 1.wav,[]
Y,Y 4.wav,[]
N,N 1.wav,[]
N,N 3.wav,[]
N,N 4.wav,[]
N,N 2.wav,[]
R,R 2.wav,[]
R,R 1.wav,[]
R,R 4.wav,[]
R,R 3.wav,[]
M,M 4.wav,[]
M,M 3.wav,[]
M,M 1.wav,[]
M,M 2.wav,[]
A long,A long 4.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca3770>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca3890>]"
A long,A long 1.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca38f0>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca39b0>]"
A long,A long 3.wav,[]
A long,A long 2.wav,[]
A short,A short 4.wav,[]
A short,A short 2.wav,[]
A short,A short 3.wav,[]
A short,A short 1.wav,[]
X,X 4.wav,[]
X,X 2.wav,[]
X,X 1.wav,[]
X,X 3.wav,[]
P,P 4.wav,[]
P,P 1.wav,[]
P,P 3.wav,[]
P,P 2.wav,[]
W,W 4.wav,[]
W,W 1.wav,[]
W,W 3.wav,[]
W,W 2.wav,[]
Z,Z 3.wav,[]
Z,Z 4.wav,[]
Z,Z 2.wav,[]
Z,Z 1.wav,[]
L,L 1.wav,[]
L,L 4.wav,[]
L,L 3.wav,[]
L,L 2.wav,[]
F,F 4.wav,[]
F,F 2.wav,[]
F,F 3.wav,[]
F,F 1.wav,[]
